Week,No,Question Title,Question URL,Difficulty,Topic,Time
1,1,Two Sum,https://leetcode.com/problems/two-sum,Easy,Array,15 mins
1,2,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,Easy,Stack,20 mins
1,3,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,Easy,Linked List,20 mins
1,4,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Easy,Array,20 mins
1,5,Valid Palindrome,https://leetcode.com/problems/valid-palindrome,Easy,String,15 mins
1,6,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree,Easy,Binary Tree,15 mins
1,7,Valid Anagram,https://leetcode.com/problems/valid-anagram,Easy,String,15 mins
1,8,Binary Search,https://leetcode.com/problems/binary-search,Easy,Binary Search,15 mins
1,9,Flood Fill,https://leetcode.com/problems/flood-fill,Easy,Graph,20 mins
1,10,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Easy,Binary Search Tree,20 mins
1,11,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree,Easy,Binary Tree,15 mins
1,12,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle,Easy,Linked List,20 mins
1,13,Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks,Easy,Stack,20 mins
2,1,First Bad Version,https://leetcode.com/problems/first-bad-version,Easy,Binary Search,20 mins
2,2,Ransom Note,https://leetcode.com/problems/ransom-note,Easy,Hash Table,15 mins
2,3,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,Easy,Dynamic Programming,20 mins
2,4,Longest Palindrome,https://leetcode.com/problems/longest-palindrome,Easy,String,20 mins
2,5,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,Easy,Linked List,20 mins
2,6,Majority Element,https://leetcode.com/problems/majority-element,Easy,Array,20 mins
2,7,Add Binary,https://leetcode.com/problems/add-binary,Easy,Binary,15 mins
2,8,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree,Easy,Binary Tree,30 mins
2,9,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,Easy,Linked List,20 mins
2,10,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree,Easy,Binary Tree,15 mins
2,11,Contains Duplicate,https://leetcode.com/problems/contains-duplicate,Easy,Array,15 mins
2,12,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,Medium,Dynamic Programming,20 mins
3,1,Insert Interval,https://leetcode.com/problems/insert-interval,Medium,Array,25 mins
3,2,01 Matrix,https://leetcode.com/problems/01-matrix,Medium,Graph,30 mins
3,3,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin,Medium,Heap,30 mins
3,4,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,Medium,String,30 mins
3,5,3Sum,https://leetcode.com/problems/3sum,Medium,Array,30 mins
3,6,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,Medium,Binary Tree,20 mins
3,7,Clone Graph,https://leetcode.com/problems/clone-graph,Medium,Graph,25 mins
3,8,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation,Medium,Stack,30 mins
4,1,Course Schedule,https://leetcode.com/problems/course-schedule,Medium,Graph,30 mins
4,2,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,Medium,Trie,35 mins
4,3,Coin Change,https://leetcode.com/problems/coin-change,Medium,Dynamic Programming,25 mins
4,4,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self,Medium,Array,30 mins
4,5,Min Stack,https://leetcode.com/problems/min-stack,Medium,Stack,20 mins
4,6,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree,Medium,Binary Search Tree,20 mins
